SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
512247,ASHIRWAD CAP,X ,Q,3.33,3.47,3.09,3.35,3.35,3.33,90,120766,401163.00,
512257,SVARTCORP   ,X ,Q,3.99,3.99,3.61,3.68,3.68,4.14,22,5441,20427.00,
512267,MEDIA MATRIX,X ,Q,4.74,4.74,4.32,4.65,4.65,4.54,8,38971,183068.00,
512289,SHIRPUR GOLD,B ,Q,16.15,16.15,16.15,16.15,16.15,17.00,10,1395,22529.00,
512296,BHAGYA INL  ,B ,Q,25.50,25.50,24.60,24.60,24.60,25.75,4,373,9413.00,
512297,SHANTAI     ,X ,Q,54.50,54.50,54.50,54.50,54.50,52.50,2,75,4087.00,
512379,CRESSANDA SO,X ,Q,0.20,0.20,0.20,0.20,0.20,0.20,6,35,7.00,
512381,STARTECK    ,XT,Q,22.75,22.75,21.00,21.00,21.00,22.00,15,6060,133550.00,
512425,NIRAV COMMER,X ,Q,192.00,192.00,192.00,192.00,192.00,200.00,2,50,9600.00,
512437,APOLLO FIN I,X ,Q,48.55,51.00,48.55,48.65,48.65,51.00,5,260,12874.00,
512453,SHRI JAGDAMB,X ,Q,198.00,198.00,198.00,198.00,198.00,198.00,3,63,12474.00,
512455,LLOYDS MET E,X ,Q,9.25,9.49,8.10,8.71,8.71,9.25,62,18022,160393.00,
512463,SHREE GLOBAL,X ,Q,1.70,1.78,1.62,1.78,1.78,1.70,17,250,429.00,
512477,BETEX INDIA ,X ,Q,24.60,24.60,23.55,24.30,24.30,24.75,3,184,4516.00,
512493,GARNET INTL ,X ,Q,41.75,44.20,41.75,44.20,44.20,44.90,2,71,2966.00,
512519,DONEAR IND. ,B ,Q,36.20,36.40,35.80,36.10,35.80,36.20,14,1651,59690.00,
512527,SUPER SAL IN,X ,Q,360.00,360.00,345.10,345.85,345.10,354.05,7,166,58341.00,
512529,SEQUENT     ,B ,Q,65.75,66.65,65.10,65.90,65.30,65.75,169,28091,1851468.00,
512531,STC INDIA   ,B ,Q,113.15,113.40,111.20,111.75,112.05,112.90,84,3548,398290.00,
512553,ZENITH EXP. ,T ,Q,50.70,50.70,50.70,50.70,50.70,53.25,20,708,35895.00,
512559,KOHINORFOODS,B ,Q,23.55,24.60,23.55,24.15,24.00,24.00,25,2415,58518.00,
